Client_ID;Credit_ID;Agence;Type_Credit;Date_Realisation;Montant_Initial;Duree_Mois;Taux;Assurance;Echeance_Mensuelle
CLI-0001;CRE-0001;Epinal;Habitat;2021-06-07;201079;191;3.93;1;1711.3
CLI-0002;CRE-0002;Strasbourg;Auto;2019-06-10;38985;68;5.57;1;754.26
CLI-0003;CRE-0003;Strasbourg;Habitat;2021-12-15;335789;225;3.36;1;2432.6
CLI-0004;CRE-0004;Colmar;Consommation;2020-12-15;12310;54;6.7;1;296.69
CLI-0005;CRE-0005;Epinal;Habitat;2021-10-06;388921;290;3.37;0;2433.33
CLI-0006;CRE-0006;Strasbourg;Habitat;2020-12-05;333969;257;3.15;0;2176.16
CLI-0007;CRE-0007;Epinal;Habitat;2021-02-27;359706;194;3.9;0;3023.2
CLI-0008;CRE-0008;Colmar;Auto;2021-02-20;31112;64;4.86;0;612.13
CLI-0009;CRE-0009;Epinal;Consommation;2020-02-21;14168;16;6.3;0;959.88
CLI-0010;CRE-0010;Strasbourg;Habitat;2021-08-15;161704;265;3.88;0;1133.05
CLI-0011;CRE-0011;Strasbourg;Auto;2019-07-08;19643;50;5.87;1;488.95
CLI-0012;CRE-0012;Epinal;Habitat;2021-10-05;348143;216;3.76;1;2702.62
CLI-0013;CRE-0013;Colmar;Habitat;2019-08-08;329486;208;3.17;0;2454.46
CLI-0014;CRE-0014;Strasbourg;Habitat;2019-06-09;342112;282;4.05;1;2367.79
CLI-0015;CRE-0015;Mulhouse;Consommation;2019-12-21;18377;50;6.05;0;460.19
CLI-0016;CRE-0016;Colmar;Auto;2020-03-12;22117;63;5.65;1;455.2
CLI-0017;CRE-0017;Colmar;Habitat;2022-06-15;159603;234;3.68;0;1171.51
CLI-0018;CRE-0018;Mulhouse;Habitat;2020-06-25;389081;290;3.07;1;2337.06
CLI-0019;CRE-0019;Strasbourg;Auto;2022-06-13;31560;40;5.07;1;922.34
CLI-0020;CRE-0020;Colmar;Habitat;2022-05-05;302536;219;3.52;1;2268.88
CLI-0021;CRE-0021;Colmar;Habitat;2022-09-28;417699;267;3.66;1;2838.4
CLI-0022;CRE-0022;Epinal;Auto;2021-06-15;32602;63;5.75;1;673.71
CLI-0023;CRE-0023;Colmar;Consommation;2021-02-04;8138;21;6.55;1;431.94
CLI-0024;CRE-0024;Strasbourg;Habitat;2022-03-22;390836;181;3.1;1;3168.97
CLI-0025;CRE-0025;Epinal;Consommation;2022-08-22;11187;18;6.07;1;678.09
CLI-0026;CRE-0026;Colmar;Habitat;2019-09-09;186238;217;3.51;1;1402.99
CLI-0027;CRE-0027;Mulhouse;Consommation;2020-05-06;7326;46;7.09;0;202.55
CLI-0028;CRE-0028;Strasbourg;Auto;2019-05-16;26082;42;5.35;0;737.28
CLI-0029;CRE-0029;Epinal;Consommation;2022-10-17;5007;21;6.45;0;265.34
