Date_Mois;Client_ID;Capital_Restant_Du;Score_Risque;Statut
2024-01-01;CLI-0001;167390.37;34;OK
2024-02-01;CLI-0001;166337.6;45;OK
2024-03-01;CLI-0001;165284.83;97;Defaut
2024-04-01;CLI-0001;164232.06;57;OK
2024-05-01;CLI-0001;163179.29;51;OK
2024-06-01;CLI-0001;162126.52;15;OK
2024-07-01;CLI-0001;161073.75;52;OK
2024-08-01;CLI-0001;160020.98;72;OK
2024-09-01;CLI-0001;158968.21;64;OK
2024-10-01;CLI-0001;157915.45;74;OK
2024-11-01;CLI-0001;156862.68;74;OK
2024-12-01;CLI-0001;155809.91;29;OK
2024-01-01;CLI-0002;6879.71;97;Defaut
2024-02-01;CLI-0002;6306.4;80;OK
2024-03-01;CLI-0002;5733.09;10;OK
2024-04-01;CLI-0002;5159.78;7;OK
2024-05-01;CLI-0002;4586.47;32;OK
2024-06-01;CLI-0002;4013.16;4;OK
2024-07-01;CLI-0002;3439.85;9;OK
2024-08-01;CLI-0002;2866.54;95;Retard
2024-09-01;CLI-0002;2293.24;76;OK
2024-10-01;CLI-0002;1719.93;50;OK
2024-11-01;CLI-0002;1146.62;13;OK
2024-12-01;CLI-0002;573.31;82;OK
2024-01-01;CLI-0003;298479.11;15;OK
2024-02-01;CLI-0003;296986.72;15;OK
2024-03-01;CLI-0003;295494.32;33;OK
2024-04-01;CLI-0003;294001.92;35;OK
2024-05-01;CLI-0003;292509.53;7;OK
2024-06-01;CLI-0003;291017.13;41;OK
2024-07-01;CLI-0003;289524.74;67;OK
2024-08-01;CLI-0003;288032.34;33;OK
2024-09-01;CLI-0003;286539.95;44;OK
2024-10-01;CLI-0003;285047.55;40;OK
2024-11-01;CLI-0003;283555.16;27;OK
2024-12-01;CLI-0003;282062.76;98;Defaut
2024-01-01;CLI-0004;3647.41;90;Retard
2024-02-01;CLI-0004;3419.44;87;Retard
2024-03-01;CLI-0004;3191.48;42;OK
2024-04-01;CLI-0004;2963.52;13;OK
2024-05-01;CLI-0004;2735.56;77;OK
2024-06-01;CLI-0004;2507.59;38;OK
2024-07-01;CLI-0004;2279.63;69;OK
2024-08-01;CLI-0004;2051.67;85;OK
2024-09-01;CLI-0004;1823.7;89;Retard
2024-10-01;CLI-0004;1595.74;90;Retard
2024-11-01;CLI-0004;1367.78;13;OK
2024-12-01;CLI-0004;1139.81;1;OK
2024-01-01;CLI-0005;351370.01;1;OK
2024-02-01;CLI-0005;350028.9;6;OK
2024-03-01;CLI-0005;348687.79;35;OK
2024-04-01;CLI-0005;347346.69;96;Defaut
2024-05-01;CLI-0005;346005.58;53;OK
2024-06-01;CLI-0005;344664.47;8;OK
2024-07-01;CLI-0005;343323.37;61;OK
2024-08-01;CLI-0005;341982.26;53;OK
2024-09-01;CLI-0005;340641.15;76;OK
2024-10-01;CLI-0005;339300.04;73;OK
2024-11-01;CLI-0005;337958.94;88;Retard
2024-12-01;CLI-0005;336617.83;24;OK
2024-01-01;CLI-0006;284588.37;75;OK
2024-02-01;CLI-0006;283288.88;68;OK
2024-03-01;CLI-0006;281989.39;63;OK
2024-04-01;CLI-0006;280689.9;17;OK
2024-05-01;CLI-0006;279390.41;99;Defaut
2024-06-01;CLI-0006;278090.92;87;Retard
2024-07-01;CLI-0006;276791.43;55;OK
2024-08-01;CLI-0006;275491.94;84;OK
2024-09-01;CLI-0006;274192.45;59;OK
2024-10-01;CLI-0006;272892.96;37;OK
2024-11-01;CLI-0006;271593.47;74;OK
2024-12-01;CLI-0006;270293.98;46;OK
2024-01-01;CLI-0007;294810.59;92;Retard
2024-02-01;CLI-0007;292956.43;85;OK
2024-03-01;CLI-0007;291102.28;41;OK
2024-04-01;CLI-0007;289248.12;24;OK
2024-05-01;CLI-0007;287393.97;7;OK
2024-06-01;CLI-0007;285539.81;25;OK
2024-07-01;CLI-0007;283685.66;97;Defaut
2024-08-01;CLI-0007;281831.51;51;OK
2024-09-01;CLI-0007;279977.35;99;Defaut
2024-10-01;CLI-0007;278123.2;31;OK
2024-11-01;CLI-0007;276269.04;82;OK
2024-12-01;CLI-0007;274414.89;87;Retard
2024-01-01;CLI-0008;14097.62;41;OK
2024-02-01;CLI-0008;13611.5;61;OK
2024-03-01;CLI-0008;13125.38;76;OK
2024-04-01;CLI-0008;12639.25;83;OK
2024-05-01;CLI-0008;12153.12;6;OK
2024-06-01;CLI-0008;11667.0;85;OK
2024-07-01;CLI-0008;11180.88;39;OK
2024-08-01;CLI-0008;10694.75;99;Defaut
2024-09-01;CLI-0008;10208.62;81;OK
2024-10-01;CLI-0008;9722.5;31;OK
2024-11-01;CLI-0008;9236.38;15;OK
2024-12-01;CLI-0008;8750.25;20;OK
2024-01-01;CLI-0009;0.0;99;Defaut
2024-02-01;CLI-0009;0.0;2;OK
2024-03-01;CLI-0009;0.0;65;OK
2024-04-01;CLI-0009;0.0;31;OK
2024-05-01;CLI-0009;0.0;77;OK
2024-06-01;CLI-0009;0.0;69;OK
2024-07-01;CLI-0009;0.0;57;OK
2024-08-01;CLI-0009;0.0;67;OK
2024-09-01;CLI-0009;0.0;29;OK
2024-10-01;CLI-0009;0.0;76;OK
2024-11-01;CLI-0009;0.0;16;OK
2024-12-01;CLI-0009;0.0;21;OK
2024-01-01;CLI-0010;144008.09;67;OK
2024-02-01;CLI-0010;143397.89;1;OK
2024-03-01;CLI-0010;142787.68;10;OK
2024-04-01;CLI-0010;142177.48;4;OK
2024-05-01;CLI-0010;141567.28;69;OK
2024-06-01;CLI-0010;140957.07;43;OK
2024-07-01;CLI-0010;140346.87;79;OK
2024-08-01;CLI-0010;139736.66;62;OK
